,bikesInUsage,electricalBikesInUsage,mechanicalBikesInUsage,dateTime,temperature,precipitation,avg_daily_temperature,avg_bike_use,is_weekend_or_bank_holiday_False,is_weekend_or_bank_holiday_True,is_eve_of_weekend_or_bank_holiday_False,is_eve_of_weekend_or_bank_holiday_True,time_of_day_Afternoon,time_of_day_Evening,time_of_day_Morning,time_of_day_Night,rain_bool_False,rain_bool_True,y_pred
25279,136,0,136,2018-12-29 10:10:12,8.690000534057617,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,143.40947244737453
25280,129,0,129,2018-12-29 10:15:12,8.690000534057617,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,143.40947244737453
25281,131,0,131,2018-12-29 10:20:12,8.690000534057617,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,143.40947244737453
25282,163,0,163,2018-12-29 10:25:12,8.690000534057617,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,143.40947244737453
25283,153,1,152,2018-12-29 10:30:12,8.690000534057617,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,143.40947244737453
25284,171,1,170,2018-12-29 10:35:12,8.690000534057617,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,143.40947244737453
25285,181,1,180,2018-12-29 10:40:12,8.690000534057617,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,143.40947244737453
25286,187,1,186,2018-12-29 10:45:13,8.690000534057617,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,143.40947244737453
25287,214,1,213,2018-12-29 10:50:12,8.690000534057617,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,143.40947244737453
25288,206,0,206,2018-12-29 10:55:12,8.690000534057617,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,143.40947244737453
25289,188,1,187,2018-12-29 11:05:13,10.440000534057615,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,200.97145101222304
25290,174,1,173,2018-12-29 11:10:12,10.440000534057615,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,200.97145101222304
25291,173,0,173,2018-12-29 11:15:11,10.440000534057615,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,200.97145101222304
25292,189,0,189,2018-12-29 11:20:12,10.440000534057615,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,200.97145101222304
25293,179,0,179,2018-12-29 11:25:12,10.440000534057615,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,200.97145101222304
25294,170,0,170,2018-12-29 11:30:12,10.440000534057615,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,200.97145101222304
25295,192,0,192,2018-12-29 11:35:12,10.440000534057615,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,200.97145101222304
25296,237,1,236,2018-12-29 11:40:12,10.440000534057615,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,200.97145101222304
25297,245,2,243,2018-12-29 11:45:13,10.440000534057615,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,200.97145101222304
25298,271,2,269,2018-12-29 11:50:12,10.440000534057615,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,200.97145101222304
25299,266,1,265,2018-12-29 11:55:12,10.440000534057615,0.0,7.223396316564308,168.63396226415094,0,1,0,1,0,0,1,0,1,0,200.97145101222304
25300,237,1,236,2018-12-29 12:05:12,12.09000015258789,0.0,7.223396316564308,168.63396226415094,0,1,0,1,1,0,0,0,1,0,261.98351681651684
25301,243,0,243,2018-12-29 12:10:12,12.09000015258789,0.0,7.223396316564308,168.63396226415094,0,1,0,1,1,0,0,0,1,0,261.98351681651684
25302,264,1,263,2018-12-29 12:15:12,12.09000015258789,0.0,7.223396316564308,168.63396226415094,0,1,0,1,1,0,0,0,1,0,261.98351681651684
25303,261,1,260,2018-12-29 12:20:12,12.09000015258789,0.0,7.223396316564308,168.63396226415094,0,1,0,1,1,0,0,0,1,0,261.98351681651684
